,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12
C01,0.0,0.04,0.32,0.44,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
C02,0.0,0.0,0.25,0.08333333333333333,0.20833333333333334,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0
C03,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.39285714285714285,0.0,0.17857142857142858,0.0,0.0,0.0,0.0
C04,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.0,0.55,0.0,0.0,0.0
C05,0.0,0.0,0.0,0.0,0.0,0.22580645161290322,0.25806451612903225,0.3548387096774194,0.0,0.16129032258064516,0.0,0.0
C06,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.6153846153846154,0.0,0.0,0.0
C07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.45454545454545453
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
